Dateiart,Datenformate,Bemerkungen,Quellen,Quellen zur Ampel,Ampel,Extensions,,,Legende,,,,Definition
,AVI Audio Video Interleave (*.avi),"ETH Zürich (2025): Bedingt geeignet, lzv.nrw: empfohlen","ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate, lzv.nr: https://www.lzv.nrw/dateiformate/?mtm_campaign=tafellaunch&mtm_medium=social",ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,,.avi,,,,,,,
,WMV Windows Media Video (*.wmv),ETH Zürich (2025): Nicht geeignet,ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,,.wmv,,,,,,,
,weitere Empfehlungen der nestor AG Media,"Wurde nicht spezifiert, ob es für Langzeitarchivierung geeignet ist.",,,,,,,,,,,
,MJPEG2000 (Moving Picture Experts Group Motion JPEG 2000),"Wurde nicht spezifiert, ob es für Langzeitarchivierung geeignet ist.",NFDI4Culture: https://docs.nfdi4culture.de/ta2-fair-handreichung/empfehlungen-dateiformate,NFDI4Culture: https://docs.nfdi4culture.de/ta2-fair-handreichung/empfehlungen-dateiformate,n/a,.jpeg,,,,,,,
,"DPX (Digital Picture Exchange), SMPTE 268M-2003, v 2.0","Wurde nicht spezifiert, ob es für Langzeitarchivierung geeignet ist.",NFDI4Culture: https://docs.nfdi4culture.de/ta2-fair-handreichung/empfehlungen-dateiformate,NFDI4Culture: https://docs.nfdi4culture.de/ta2-fair-handreichung/empfehlungen-dateiformate,n/a,.dpx,,,,,,,
,"MXF (Material Exchange Format), SMPTE 377M","Wurde nicht spezifiert, ob es für Langzeitarchivierung geeignet ist.",NFDI4Culture: https://docs.nfdi4culture.de/ta2-fair-handreichung/empfehlungen-dateiformate,NFDI4Culture: https://docs.nfdi4culture.de/ta2-fair-handreichung/empfehlungen-dateiformate,n/a,.mxf,,,,,,,
3D, glTF (Graphics Language Transmission Format),,NFDI4Culture: https://docs.nfdi4culture.de/ta2-fair-handreichung/empfehlungen-dateiformate,NFDI4Cultue: https://docs.nfdi4culture.de/ta4-digital-preservation-basics/3-wie-kommen-materialien-in-ein-digitales-langzeitarchiv/3-4-identifizierung-erhaltenswerter-eigenschaften/dateiformate-fuer-die-langzeitarchivierung,,,,,,,,,
,(OBJ) Wavefront Object,,NFDI4Culture: https://docs.nfdi4culture.de/ta2-fair-handreichung/empfehlungen-dateiformate,NFDI4Cultue: https://docs.nfdi4culture.de/ta4-digital-preservation-basics/3-wie-kommen-materialien-in-ein-digitales-langzeitarchiv/3-4-identifizierung-erhaltenswerter-eigenschaften/dateiformate-fuer-die-langzeitarchivierung,,.obj,,,,,,,
,"X3D (Extensible 3D)
",,"NFDI4Culture: https://docs.nfdi4culture.de/ta2-fair-handreichung/empfehlungen-dateiformate, lzv.nrw: https://www.lzv.nrw/dateiformate/?mtm_campaign=tafellaunch&mtm_medium=social ",NFDI4Cultue: https://docs.nfdi4culture.de/ta4-digital-preservation-basics/3-wie-kommen-materialien-in-ein-digitales-langzeitarchiv/3-4-identifizierung-erhaltenswerter-eigenschaften/dateiformate-fuer-die-langzeitarchivierung,,.x3d,,,,,,,
,"Präsentationsformat: glTF, X3D, OBJ",,NFDI4Culture: https://docs.nfdi4culture.de/ta2-fair-handreichung/empfehlungen-dateiformate,NFDI4Cultue: https://docs.nfdi4culture.de/ta4-digital-preservation-basics/3-wie-kommen-materialien-in-ein-digitales-langzeitarchiv/3-4-identifizierung-erhaltenswerter-eigenschaften/dateiformate-fuer-die-langzeitarchivierung,,".gitf, .x3d, .obj",,,,,,,
,COLLADA (COLLAborative Design Activity),,NFDI4Culture: https://docs.nfdi4culture.de/ta2-fair-handreichung/empfehlungen-dateiformate,,n/a,,,,,,,,
Tabellen," XML Extensible Markup Language 1.1, mit XML Schema Definition (XSD)",,NFDI4Culture: https://docs.nfdi4culture.de/ta2-fair-handreichung/empfehlungen-dateiformate,NFDI4Cultue: https://docs.nfdi4culture.de/ta4-digital-preservation-basics/3-wie-kommen-materialien-in-ein-digitales-langzeitarchiv/3-4-identifizierung-erhaltenswerter-eigenschaften/dateiformate-fuer-die-langzeitarchivierung,,.xml,,,,,,,
,Comma-Separated Values (CSV),,kost-ceco: https://kost-ceco.ch/cms/kad_image_de.html,kost-ceco: https://kost-ceco.ch/cms/kad_image_de.html,,.csv,,,,,,,
,Excel *.xlsx (Containerformat),ETH Zürich (2025): Bedingt geeignet,kost-ceco: https://kost-ceco.ch/cms/kad_image_de.html,ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,,.xlsx,,,,,,,
," *.odm, *.odt, *.odg, *.odc, *.odf (OpenDocument Formate)",ETH Zürich (2025): Bedingt geeignet,ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,,"*.odm, *.odt, *.odg, *.odc, *.odf",,,,,,,
,"Excel *.xls, *.xlsb (binäre Formate)",ETH Zürich (2025): Nicht geeignet,ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,,".xls, .xlsb",,,,,,,
Datenbanken,SIARD (Software Independent Archival of Relational Databases),,kost-ceco: https://kost-ceco.ch/cms/kad_image_de.html,Schweizerisches Bundesarchiv (BAR): https://www.bar.admin.ch/dam/bar/de/dokumente/konzepte_und_weisungen/archivtaugliche_dateiformate.1.pdf.download.pdf/archivtaugliche_dateiformate.pdf,,,,,,,,,
,SQL (Structured Query Language),,kost-ceco: https://kost-ceco.ch/cms/kad_image_de.html,kost-ceco: https://kost-ceco.ch/cms/kad_image_de.html,,,,,,,,,
,MS Access 2010/2016,,Herder-Institut Marburg: https://zenodo.org/records/18389871,Herder-Institut Marburg: https://zenodo.org/records/18389871,,.accdb,,,,,,,
,"Export und externe Speicherung der Datenbankinhalte empfohlen, z. B. als XML, CSV, JSON mit Entitäten-Relationen-Diagramm (ERD)",,Herder-Institut Marburg: https://zenodo.org/records/18389871,Herder-Institut Marburg: https://zenodo.org/records/18389872,,,,,,,,,
